Actual,Unicode,NumBlanks
25,7805,58
60,8423,44
98,8220,57
65,6428,92
58,5473,95
39,5581,79
17,5254,73
64,4898,97
49,5602,78
47,5286,73
62,6022,43
62,6037,79
39,5584,79
27,5258,73
54,4882,97
59,5609,78
96,5222,77
44,4855,98
30,5726,83
29,5537,79
47,5298,73
83,6206,34
22,5970,45
29,5540,79
37,5275,73
42,5987,43
88,5478,79
07,5223,77
64,4889,98
49,5568,94
49,5604,79
76,5203,77
44,4856,98
69,5617,78
37,5270,73
64,4904,97
65,6446,73
39,5577,79
76,5194,77
54,4872,98
59,5590,78
87,5330,72
64,4903,96
94,6337,76
69,5615,78
47,5297,73
93,6213,34
72,6035,45
79,5627,78
37,5277,73
64,4898,97
34,6328,75
59,5598,78
07,5229,73
64,4887,97
59,5599,78
57,5302,73
82,6045,43
62,6059,79
49,5586,80
75,5058,83
49,5584,80
65,5045,83
01,5834,82
49,5603,79
86,5205,77
44,4867,98
59,5618,78
37,5267,73
54,4888,97
87,5388,96
59,5596,78
77,5330,73
04,6219,34
62,6030,45
59,5599,78
86,5217,77
54,4870,98
59,5607,78
57,5287,72
54,4888,97
66,6623,72
79,5630,79
37,5251,76
44,4864,98
89,5636,78
27,5267,73
54,4889,97
54,6343,76
39,5574,80
75,5052,83
39,5574,80
65,5040,83
91,5940,89
79,5632,78
17,5253,73
54,4886,97
79,5636,78
96,5228,77
44,4856,98
59,5580,79
67,5301,72
64,4897,97
12,5944,88
98,5502,80
76,5191,77
22,4543,112
09,5508,79
96,5222,77
34,4849,98
42,6012,79
59,5612,79
76,5196,77
44,4860,98
69,5622,78
47,5288,73
84,4926,96
05,6375,75
59,5592,78
07,5235,77
34,4856,98
59,5597,78
47,5282,73
74,4909,97
22,5995,79
59,5608,80
75,5055,83
59,5607,80
65,5045,83
90,5837,81
59,5606,78
96,5226,77
44,4858,98
59,5609,78
27,5268,73
54,4888,97
88,5503,95
59,5608,79
17,5244,77
64,4895,98
69,5630,78
76,5202,77
34,4851,98
69,5600,94
59,5604,78
47,5286,73
14,6238,34
42,5988,45
59,5609,78
37,5276,73
62,6025,43
95,6508,73
49,5608,79
96,5225,77
34,4854,98
69,5628,78
86,5212,77
34,4855,98
60,5729,82
59,5595,79
86,5213,77
22,4544,113
69,5612,78
07,5214,76
24,4828,99
58,5426,96
49,5592,79
96,5222,77
44,4864,98
78,5498,80
37,5273,73
64,4905,97
16,6505,74
49,5602,80
65,5041,83
49,5599,80
65,5036,83
30,5757,82
49,5593,79
96,5222,77
54,4873,98
59,5613,78
17,5242,73
62,6005,43
60,5770,82
68,5469,81
66,5187,77
12,4538,112
78,5492,80
76,5190,77
34,4853,98
