meet_name,facility_name,meet_start_date,meet_end_date,mm_athlete_id,usas_id,first_name,last_name,gender,team,event_no,stroke,distance,seed_time,round,time,course,heat,lane,heat_place,overall_place,backup_time_1,backup_time_2,reaction_time
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,61,B8234FA7AE1DDA,Nico,Basten,M,UKY,8,Medley,200,120.11,F,107.56,Y,1,3,2,18,107.77,107.61,0.72
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,61,B8234FA7AE1DDA,Nico,Basten,M,UKY,8,Medley,200,120.11,P,108.67,Y,1,5,1,19,108.87,108.81,0.97
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,61,B8234FA7AE1DDA,Nico,Basten,M,UKY,22,Free,200,103.77,F,99.16,Y,1,2,6,14,99.35,99.42,0.75
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,61,B8234FA7AE1DDA,Nico,Basten,M,UKY,22,Free,200,103.77,P,98.71,Y,1,4,2,15,98.86,98.89,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,61,B8234FA7AE1DDA,Nico,Basten,M,UKY,38,Fly,200,125.31,P,111.08,Y,2,1,6,16,111.16,111.25,0.75
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,62,F8AE1CC269E441,Marie,Belli,F,UKY,7,Medley,200,125.18,F,119.77,Y,3,7,6,8,119.89,119.89,0.70
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,62,F8AE1CC269E441,Marie,Belli,F,UKY,7,Medley,200,125.18,P,121.71,Y,4,8,6,17,121.86,121.87,0.70
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,62,F8AE1CC269E441,Marie,Belli,F,UKY,19,Medley,400,269.64,F,257.57,Y,2,7,5,7,257.63,257.79,0.69
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,62,F8AE1CC269E441,Marie,Belli,F,UKY,19,Medley,400,269.64,P,257.55,Y,3,6,4,9,257.74,257.68,0.71
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,62,F8AE1CC269E441,Marie,Belli,F,UKY,37,Fly,200,126.35,F,122.94,Y,1,3,4,12,122.96,122.94,0.66
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,62,F8AE1CC269E441,Marie,Belli,F,UKY,37,Fly,200,126.35,P,121.41,Y,2,1,4,11,121.60,121.63,0.82
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,63,4120979F680A43,Max,Berg,M,UKY,10,Free,50,21.23,F,20.17,Y,3,7,6,8,20.26,20.24,0.60
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,63,4120979F680A43,Max,Berg,M,UKY,10,Free,50,21.23,P,20.09,Y,3,8,5,14,20.28,20.17,0.60
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,63,4120979F680A43,Max,Berg,M,UKY,22,Free,200,98.23,P,0.00,Y,4,2,0,0,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,63,4120979F680A43,Max,Berg,M,UKY,34,Free,100,44.23,F,43.71,Y,3,7,6,8,43.86,43.74,0.59
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,63,4120979F680A43,Max,Berg,M,UKY,34,Free,100,44.23,P,44.10,Y,2,3,5,14,44.23,44.33,0.58
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,63,4120979F680A43,Max,Berg,M,UKY,26,Back,100,0.00,F,48.93,Y,2,6,6,8,49.16,49.08,0.63
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,63,4120979F680A43,Max,Berg,M,UKY,26,Back,100,0.00,P,47.51,Y,1,8,4,11,47.84,47.58,0.62
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,64,5025650C9DD14C,Devynn,Bishop,F,UKY,11,1m,6,257.10,F,261.70,Y,1,8,6,6,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,64,5025650C9DD14C,Devynn,Bishop,F,UKY,11,1m,6,257.10,P,256.95,Y,1,2,5,5,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,64,5025650C9DD14C,Devynn,Bishop,F,UKY,27,3m,6,284.55,F,299.15,Y,1,2,3,3,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,64,5025650C9DD14C,Devynn,Bishop,F,UKY,27,3m,6,284.55,P,316.00,Y,1,7,1,1,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,64,5025650C9DD14C,Devynn,Bishop,F,UKY,39,10m,6,0.00,F,219.25,Y,1,8,4,4,0.00,0.00,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,65,F25453646D2A4D,Jonathan,Boyd,M,UKY,10,Free,50,21.71,F,21.18,Y,1,1,8,24,21.26,21.28,0.68
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,65,F25453646D2A4D,Jonathan,Boyd,M,UKY,10,Free,50,21.71,P,20.64,Y,1,4,1,24,20.72,20.79,0.69
